shortcode,images,company,post_id,date,post_description,accessibility_caption,count_likes,count_comments,location,comments_disabled,is_ad,is_video
CMKP644Axx5,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/158428510_1204951553309639_9214724137275400323_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=BN-DabZcBt8AX9pe3xa&edm=AABBvjUBAAAA&ccb=7-4&oh=1d5e9e18ab5952cda85391051c77b928&oe=614C0D90&_nc_sid=83d603'}],nestle,2524900558591171705,405,"On #InternationalWomensDay and every day, we’re doing our part to advance gender equality in the workplace and across our supply chain. ✋🏾✋🏿✋🏻⠀
 ⠀
Visit the link in our bio to discover how we’re increasing the number of women in the top 200 senior executive positions ⬆️⠀
 ⠀
#IWD2021 #ChooseToChallenge #Nestlé",,405,124,,False,False,True
CNmcdY_Mzd6,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/171610990_515086663204450_2265820935648806155_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=AMt86QptPgAAX97ikbt&edm=AABBvjUBAAAA&ccb=7-4&oh=9205cfe88267b12f0b7b6a75e68523dd&oe=61505B5C&_nc_sid=83d603'}],nestle,2550851403949225850,1048,"Our Garden Gourmet pizzas are now available in seven European countries. 🍕 ⁣
⁣
Delivering on taste and goodness in 100% recyclable packaging. ♻️ ⁣
⁣
Visit the link in our bio and learn more about how we're embracing plant-based ⬆️ ⁣
⁣
#PlantBased #Innovation #Nestlé #GardenGourmet⁣",,1048,345,,False,False,False
CMtsYPBAvU9,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/162642599_227565769118171_5597067719538442986_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=uIX_3UVRoJsAX9uVgH1&edm=AABBvjUBAAAA&ccb=7-4&oh=01dd2099d2027950b342a69451311853&oe=614C637D&_nc_sid=83d603'}],nestle,2534877344716485949,746,"Introducing Incoa 🍫 - chocolate made from 100% cocoa fruit and without refined sugar. ⠀
 ⠀
Through our Les Recettes de L'Atelier brand, we're introducing cocoa pulp-sweetened chocolate to several countries, starting in France 🇫🇷 and the Netherlands 🇳🇱. ⠀
 ⠀
Visit the link in our bio to learn more about this breakthrough innovation ⬆️⠀
 ⠀
#Innovation #Chocolate #Nestlé #Incoa",,746,53,,False,False,True
CPDAHErrPZ3,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/188192217_398747224477024_2536859798868163692_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=umb2_C_9D78AX9jt2HG&edm=AABBvjUBAAAA&ccb=7-4&oh=317752dcad1b63ef6a08e1ee9b69fce1&oe=614C8D75&_nc_sid=83d603'}],nestle,2576903897850115703,328,"Children who prepare meals develop healthier habits!

Before heading to the supermarket, have your kids help draw up a shopping list. 🛒✔️

Visit the link in our bio and discover our tips and tricks ⬆️

#HealthierKids #Nestlé #GoodLife",,328,24,,False,False,True
CQLdk7ysBg_,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/201360938_814260879485309_9074598422070249939_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=fPYUzynafD0AX9wg5ko&edm=AABBvjUBAAAA&ccb=7-4&oh=ab1757bddc023ac32fbd10792afa0164&oe=614C4347&_nc_sid=83d603'}],nestle,2597299691560376383,399,"Hooray, UK! Our incredible Nestlé UK team shared their first-hand career experiences, and their reviews have landed our CEO Mark Schneider a spot on the @Glassdoor #TopCEOs list. 🏆 👏 ✨

Behind every Top CEO is a top team. Want to join ours? Visit the link in our bio to explore our job opportunities around the world ⬆️ 

#WeAreNestlé #Glassdoor #Careers",,399,403,,False,False,True
CPVrSfMMwhl,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/191880146_501942627661210_7544242867051103199_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=DwFnjVqiQdgAX94NQNU&edm=AABBvjUBAAAA&ccb=7-4&oh=4cfd0319bb8ccdc8ee299fe2531ff206&oe=614C2DB7&_nc_sid=83d603'}],nestle,2582160347808073829,376,"Every recipe tells a story! 

Our employees around the world are highlighting their passion for food by sharing their fondest food memories and favorite recipes.

Meet Alice, from the Dominican Republic, she's sharing her grandmother’s recipe for Sweet Arepa. 🇩🇴👩🏽‍🍳 

For Alice’s full recipe and method, visit our story highlights ⬆️ 

#WeAreNestle #Recipes #PowerOfFood",,376,14,,False,False,True
CTR68H6N2BJ,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/240927071_634246134224433_2328054745166316584_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=rBVzFge1HKwAX-ZqLvg&edm=AABBvjUBAAAA&ccb=7-4&oh=06d54bf768539fbad04f53863172d171&oe=6151A074&_nc_sid=83d603'}],nestle,2653160873857081417,1024,"Our Japanese plant-based brew offers are growing, with @Nescafe Gold Blend Rice Latte dropping to the delight of local climate-conscious consumers. 🌱 ☕ 

Visit the link in our bio and learn more about how we're embracing plant-based ⬆️ ⁣

#Coffee #PlantBased #Innovation",,1024,10,,False,False,False
CQGJS4gLvYY,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/fr/e15/s1080x1080/200724782_957093331757403_1928696589211875404_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=EBRousDF0n0AX9iGvy_&edm=AABBvjUBAAAA&ccb=7-4&oh=de2cff33f790c48bba12dca9f9d23ef1&oe=614C508F&_nc_sid=83d603'}],nestle,2595803115264341528,2625,"📢 BREAKing news: the wait is over! It’s time for a #VeganBreak 🍫 🍃. 

Taste the same perfect crispy wafer and chocolate combo you know and love - using 100% sustainable cocoa and certified vegan. 

Visit the link in our bio to find out when and where you can find our first-ever plant-based @KitKat ⬆️ 

 #Innovation #KitKatV #PlantBased",,2625,336,,False,False,True
CMMjFx8gT3p,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/e35/158445749_871882116990321_8215609224694324499_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=BMWtMauyrgkAX_oxv3J&edm=AABBvjUBAAAA&ccb=7-4&oh=1b3e64c6f86a3c1dc7f62601537ae1e3&oe=6150462F&_nc_sid=83d603'}],nestle,2525547819901730281,892,"Our Global Chief Marketing Officer, Aude Gandon, shares her insight into what she has learned about exacting real and lasting change for equality and what work still needs to be done. ⠀
 ⠀
Visit the link in our bio for the full story ⬆️⠀
 ⠀
#InternationalWomensDay #IWD2021 #ChooseToChallenge #Nestlé",,892,271,,False,False,False
CSdxYfdtAoJ,[{'url': 'https://scontent-zrh1-1.cdninstagram.com/v/t51.2885-15/fr/e15/p1080x1080/235749704_543104263668166_2678418739103866762_n.jpg?_nc_ht=scontent-zrh1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=H8PGULWEznAAX-MlH3A&tn=EPLOOm8s1aBmyfj8&edm=AABBvjUBAAAA&ccb=7-4&oh=a792d7db0e0bafe2927c2a7e584bad0b&oe=614C5380&_nc_sid=83d603'}],nestle,2638482144039799305,363,"Beginning a job at Nestlé, is really the beginning of a career journey. And each step along the way is a reflection of our talents’ aspirations and the support of team members and mentors. 

Find your fit at Nestlé ⬆️ 

#Nestlé #YoungProfessionals",,363,51,,False,False,True
